long,lat,id,nombre,categoria,cocina,ambientacion,telefono,mail,horario,calle_nombre,calle_altura,calle_cruce,direccion_completa,barrio,comuna,codigo_postal,codigo_postal_argentino
"-584,033,774","-345,987,371",712,BUENOS MUCHACHOS,RESTAURANTE,PARRILLA,CLASICO PORTEÑO,4961 5950,,,CORDOBA,2574,,CORDOBA AV. 2574,Balvanera,3,1120,C1120AAU
"-584,540,991","-345,513,043",494,BUHO,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4788 3478,,,MONTAÑESES,2785,,MONTAÑESES 2785,Belgrano,13,,
"-5,839,143","-345,883,472",1671,BULLEN,PUB,PIZZERIA,ALEMANA,4808 9001,,,ORTIZ ROBERTO M. Pres.,1827,,"ORTIZ, ROBERTO M., Pres. 1827",Recoleta,2,1113,C1113ABA
,,,BULLER,Bar Temático / Restaurante Temático,,,4313-0287,bullerpub@bullerpub.com,,,,,PTE. ROBERTO M. ORTIZ 1827,RECOLETA,2,,
"-583,977,288","-346,096,536",713,BUNGALO,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4951 4371,,,RIVADAVIA AV,2210,,RIVADAVIA AV. 2210,Balvanera,3,1034,C1034ACO
"-584,538,621","-346,256,553",967,BUON,CAFE,,,,,,RIVADAVIA,6200,,RIVADAVIA AV. 6200,Caballito,6,1406,C1406GLR
"-584,003,763","-345,996,521",714,BURGER KING,RESTAURANTE,FAST FOOD,MODERNO,,,,CORDOBA,2332,,CORDOBA AV. 2332,Balvanera,3,1120,C1120AAS
"-584,032,809","-345,940,996",1673,BURGUER KING,PUB,AMERICANA,MODERNO,,,,SANTA FE,2575,,SANTA FE AV. 2575,Recoleta,2,1425,C1425BGA
"-584,302,599","-346,154,607",968,BURGUER KING,RESTAURANTE,,,,,,RIVADAVIA,4607,,RIVADAVIA AV. 4607,Caballito,6,1424,C1424CEB
"-583,712,301","-34,614,767",2558,BURZAKO,RESTAURANTE,ESPAÃ‘OLA,CLASICO PORTEÑO,4334 0721,burzakorestoran@yahoo.com.ar,lunes a viernes de 12 a 16- jueves a sábado de 20 a 1,MEXICO,345,,MEXICO 345,Monserrat,1,1097,C1097AAG
"-58,401,962","-345,978,271",1672,BUZIOS,RESTAURANTE,,,,,,PARAGUAY,2400,,PARAGUAY 2400,Recoleta,2,1121,C1121ABL
"-584,990,021","-345,978,793",2697,C & D STYLE LIFE,RESTAURANTE,PARRILLA,RUSTICA,4502 7119,,,BEIRO FRANCISCO,3261,,"BEIRO, FRANCISCO AV. 3261",Villa Devoto,11,1419,C1419HYG
"-583,732,888","-346,394,944",897,CABAÑA COLONIA BARRACAS,RESTAURANTE,ALEMANA,ALEMANA,4301 2999,,,OLAVARRIA,1601,,OLAVARRIA 1601,Barracas,4,1267,C1267AEI
"-584,614,325","-346,097,959",970,CABALLITO SPORT,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4586 3231,,,ALVAREZ DONATO Tte. Gral.,1481,,"ALVAREZ, DONATO, Tte. Gral. 1481",Caballito,6,1416,C1416BTD
,,,CABAÑA LAS LILAS,Restaurante,,,4313-1336,restaurant@restlaslilas.com.ar,,,,,ALICIA M. DE JUSTO 516,PUERTO MADERO,1,,
"-584,284,643","-34,587,664",74,CABERNET,RESTAURANTE,DE AUTOR,ELEGANTE,4831 3071,cabernetrestaurant@ciudad.com.ar,,BORGES JORGE LUIS,1757,,"BORGES, JORGE LUIS 1757",Palermo,14,1414,C1414DGC
"-584,344,326","-346,231,069",969,CAFE ALBERDI,CAFE,MINUTAS,ELEGANTE,4923 6816,,,ALBERDI JUAN BAUTISTA,500,,"ALBERDI, JUAN BAUTISTA AV. 500",Caballito,6,1424,C1424BYR
"-583,896,781","-346,018,527",2156,CAFE AZNAR,RESTAURANTE,SANDWICHERIA,CLASICO PORTEÑO,4373 5725,,lunes a viernes de 10 a 19,TUCUMAN,1602,,TUCUMAN 1602,San Nicolas,1,1050,C1050AAH
"-58,424,876","-346,344,329",943,CAFE BAR,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,,,,LA PLATA,1620,,LA PLATA AV. 1620,Boedo,5,1250,C1250AAT
"-583,901,911","-34,616,745",1354,CAFE BAR CHISOL,RESTAURANTE,,,4383 2632,,,CHILE,1699,,CHILE 1699,Monserrat,1,1100,C1100AAC
"-583,634,193","-346,392,408",2157,CAFE BAR DE LOS ARTISTAS,BAR,SANDWICHERIA,CLASICO PORTEÑO,4301 0171,,lunes a domingo de 10 a 18,ARAOZ DE LAMADRID G. GRAL.,784,,"ARAOZ DE LAMADRID, GREGORIO, GRAL. 784",Boca,4,1166,C1166AAN
"-583,624,826","-346,396,027",1228,CAFE BAR FILIBERTO,RESTAURANTE,SANDWICHERIA,CLASICO PORTEÑO,4302 1815,,lunes a domingo de 9.30 a 18,MAGALLANES,825,,MAGALLANES 825,Boca,4,1166,C1166ACA
"-583,745,345","-346,044,912",2159,CAFE BARI,BAR,MINUTAS,MODERNO,4325 0444,,lunes a viernes de 7 a 18,SARMIENTO,561,,SARMIENTO 561,San Nicolas,1,1041,C1041AAK
"-584,977,432","-345,774,962",2795,CAFE BORDO,,SANDWICHERIA,CLASICO PORTEÑO,,,,DE LOS CONSTITUYENTES,5189,,DE LOS CONSTITUYENTES AV. 5189,Villa Urquiza,12,1431,C1431EZC
"-584,498,687","-345,675,435",579,CAFE BOUQUET,,MINUTAS,CLASICO PORTEÑO,4787 1580,,,CABILDO,1400,,CABILDO AV. 1400,Colegiales,13,1426,C1426ABN
"-583,888,318","-346,113,156",1357,CAFE BUENOS AIRES,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4372 6734,,,ALSINA ADOLFO,1600,,"ALSINA, ADOLFO 1600",Monserrat,1,1088,C1088AAN
,,,CAFÉ CORTAZAR,Restaurante / Bar Temático,,,4863-2120,baresnotables@gmail.com,,,,,JOSÉ ANTONIO CABRERA 3799,PALERMO,14,,
"-584,544,139","-346,056,519",971,CAFE DE GARCIA,CAFE,MINUTAS,CLASICO PORTEÑO,,,,SAN MARTIN,1828,,SAN MARTIN AV. 1828,Caballito,6,1416,C1416CRT
,,,CAFÉ DE GARCIA,Bar Notable,,,4501-5912,,,,,,SANABRIA 3302,VILLA DEVOTO,11,,
"-584,223,534","-345,774,414",73,CAFE DE LA AMISTAD,BAR,MINUTAS,MODERNO,4772 6929,,,JUNCAL,4499,,JUNCAL 4499,Palermo,14,1425,C1425BAA
"-583,948,819","-34,604,407",717,CAFE DE LA CASONA,RESTAURANTE,,,,,,CORRIENTES,1979,,CORRIENTES AV. 1979,Balvanera,3,1045,C1045AAB
"-583,806,712","-346,035,697",2158,CAFE DE LA CIUDAD,CAFE,MINUTAS,,4322 6174,,,CORRIENTES,999,,CORRIENTES AV. 999,San Nicolas,1,1043,C1043AAJ
"-584,357,554","-346,192,655",974,CAFE DE LA ESQUINA,RESTAURANTE,,,,,,ROSARIO,495,,ROSARIO 495,Caballito,6,1424,C1424CCI
"-583,995,438","-346,022,606",718,CAFE DE LA ESQUINA,CAFE,MINUTAS,MODERNO,,,,TUCUMAN,2300,,TUCUMAN 2300,Balvanera,3,1051,C1051ACB
,,,CAFÉ DE LA ESQUINA,Bar Notable,,,4782-903800,cafebardelaesquina@gmail.com,,,,,AV. DEL LIBERTADOR 6196,BELGRANO,13,,
"-583,988,095","-345,998,351",715,CAFE DE LA FACU,CAFE,MINUTAS,LITERARIO,4951 6438,,,CORDOBA,2202,,CORDOBA AV. 2202,Balvanera,3,1120,C1120AAR
"-583,832,701","-346,109,465",1355,CAFE DE LA FLOR,CAFE,MINUTAS,MODERNO,4384 6196,,,ALSINA ADOLFO,1200,,"ALSINA, ADOLFO 1200",Monserrat,1,1088,C1088AAF
"-583,906,381","-345,877,197",1674,CAFE DE LA PAIX,RESTAURANTE,INTERNACIONAL,MODERNO,4804 6820,,,QUINTANA,595,,"QUINTANA, MANUEL, PRES. AV. 595",Recoleta,2,1129,C1129ABB
"-585,102,723","-345,996,574",2699,CAFE DE LA PLAZA,RESTAURANTE,MEDITERRANEA,,4502 4748,www.cafedelaplaza.com.ar,,LINCOLN,3990,,LINCOLN AV. 3990,Villa Devoto,11,1419,C1419IFR
"-584,259,752","-345,885,015",75,CAFE DE LA SEDA,BAR,INTERNACIONAL,CLASICO PORTEÑO,4831 4040,,,ARMENIA,1820,,ARMENIA 1820,Palermo,14,1414,C1414DKN
"-584,301,165","-346,147,605",972,CAFE DE LA SUBASTA,BAR,MINUTAS,ANTIGUO,,,,RIO DE JANEIRO,54,,RIO DE JANEIRO 54,Caballito,6,1405,C1405CBB
,,,CAFÉ DE LA U,Bar Notable,,,4521-9076,,,,,,AV. TRIUNVIRATO 4801,VILLA URQUIZA,12,,
"-58,397,121","-345,999,994",716,CAFE DE LAS CIENCIAS,RESTAURANTE,INTERNACIONAL,MODERNO,4374 0400,dlascienciaspizza@hotmail.com,,JUNIN,785,,JUNIN 785,Balvanera,3,1026,C1026ABO
"-583,858,265","-346,015,527",2160,CAFE DE LAS CORTES,CAFE,MINUTAS,MODERNO,4373 2542,cafedelascortes@hotmail.com,lunes a viernes de 7 a 18,TUCUMAN,1327,,TUCUMAN 1327,San Nicolas,1,1050,C1050AAA
"-583,753,556","-345,995,908",2161,CAFE DE LAS GALERIAS,CONFITERIA,MINUTAS,MODERNO,5555 5125,,,FLORIDA,725,,FLORIDA 725,San Nicolas,1,1005,C1005AAO
"-583,733,836","-34,610,727",1358,CAFE DE LAS LUCES,CAFE,INTERNACIONAL,CLASICO PORTEÑO,4342 9312,cafedelasluces@yahoo.com,,BOLIVAR,240,,BOLIVAR 240,Monserrat,1,1066,C1066AAF
"-584,673,608","-345,772,402",2752,CAFE DE LOS INCAS,RESTAURANTE,SANDWICHERIA,BRITANICA,4553 1727,,,DE LOS INCAS,3909,,DE LOS INCAS AV. 3909,Villa Ortuzar,15,1427,C1427DNE
"-583,711,534","-346,006,996",2163,CAFE DE MI PAIS,CONFITERIA,INTERNACIONAL,,4312 7269,,,TUCUMAN,299,,TUCUMAN 299,San Nicolas,1,1049,C1049AAE
"-58,416,561","-345,846,349",76,CAFE DEL BOTANICO,CAFE,INTERNACIONAL,MODERNO,4833 5515,,,SANTA FE,3799,,SANTA FE AV. 3799,Palermo,14,1425,C1425BGM
"-585,030,488","-345,947,432",2700,CAFE DEL LIBERTADOR,CAFE,SANDWICHERIA,ITALIANA,,,,SAN MARTIN,6202,,SAN MARTIN AV. 6202,Villa Devoto,11,1419,C1419IBS
"-583,971,314","-346,021,466",719,CAFE DEL SIGLO,RESTAURANTE,MINUTAS,,4951 3313,,,TUCUMAN,2101,,TUCUMAN 2101,Balvanera,3,1050,C1050AAQ
"-583,792,959","-346,057,256",2162,CAFE EL URBANO,RESTAURANTE,TRADICIONAL,MODERNO,4328 6409,,,SUIPACHA,237,,SUIPACHA 237,San Nicolas,1,1008,C1008AAE
"-583,740,598","-346,021,676",2164,CAFE FINANZAS,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4322 6677,,lunes a sábado de 7 a 22,LAVALLE,502,,LAVALLE 502,San Nicolas,1,1047,C1047AAL
"-584,103,357","-345,908,378",1675,CAFE FLORENCIA,CAFE,MINUTAS,MODERNO,4826 5777,,,GUEMES,3199,,GUEMES 3199,Recoleta,2,1425,C1425BKE
"-584,059,345","-345,899,764",1677,CAFE FUNDADOR,CAFE,MINUTAS,MODERNO,4827 5040,,,BERUTI,2954,,BERUTI 2954,Recoleta,2,1425,C1425BBJ
"-583,880,684","-346,028,556",2165,CAFE HOMERO,RESTAURANTE,MINUTAS,MODERNO,4372 3929,,lunes a viernes de 8 a 20,LAVALLE,1501,,LAVALLE 1501,San Nicolas,1,1048,C1048AAK
"-585,084,629","-346,037,295",2703,CAFE JONATHAN,CAFE,MINUTAS,ELEGANTE,4504 5441,,,BEIRO FRANCISCO,4001,,"BEIRO, FRANCISCO AV. 4001",Villa Devoto,11,1419,C1419HZC
"-584,350,394","-346,214,002",973,CAFE JONATHAN,BAR,INTERNACIONAL,ELEGANTE,4902 5473,,,MORENO JOSE MARIA,304,,"MORENO, JOSE MARIA AV. 304",Caballito,6,1424,C1424AAQ
"-584,640,075","-346,265,279",1133,CAFE LA FORJA,RESTAURANTE,MINUTAS,ANTIGUO,4637 3955,,,BACACAY,2414,,BACACAY 2414,Flores,7,1406,C1406GDR
"-583,892,864","-346,042,104",2167,CAFE LA PAZ,RESTAURANTE,MINUTAS,MODERNO,4373 3647,,lunes a domingo de 7 a 00,CORRIENTES,1593,,CORRIENTES AV. 1593,San Nicolas,1,1042,C1042AAB
"-584,374,949","-346,046,293",2658,CAFE LE PARC,,INTERNACIONAL,ANTIGUO,4856 3243,,,GALLARDO ANGEL,401,,"GALLARDO, ANGEL AV. 401",Villa Crespo,15,1405,C1405DJE
"-584,661,224","-345,397,725",1499,CAFE LEON,RESTAURANTE,MINUTAS,MODERNO,4701 8671,cafaleonramallo@hotmail.com,,RAMALLO,1736,,RAMALLO 1736,NuÑes,13,1429,C1429DUB
,,,CAFÉ MAR AZUL,Bar Notable,,,5811-4347/4374-0307,cafemarazul@yahoo.com.ar,,,,,TUCUMÁN 1700,SAN NICOLÁS,1,,
,,,CAFE MARGOT,Bar Notable,,,4957-0001,baresnotables@gmail.com,,,,,BOEDO 857,BOEDO,5,,
"-583,893,157","-345,877,489",1676,CAFE MARTINEZ,CAFE,PIZZERIA,MODERNO,4805 7509,,,AYACUCHO,1985,,AYACUCHO 1985,Recoleta,2,1112,C1112AAI
"-583,879,827","-345,992,634",1678,CAFE MARTINEZ,CAFE,MINUTAS,CLASICO PORTEÑO,4816 3223,,,CORDOBA,1499,,CORDOBA AV. 1499,Recoleta,2,1055,C1055AAE
"-584,191,624","-345,732,471",77,CAFE MARTINEZ,CAFE,,,,,,DEL LIBERTADOR,3598,,DEL LIBERTADOR AV. 3598,Palermo,14,1425,C1425ABV
"-584,098,626","-345,800,357",79,CAFE MARTINEZ,CAFE,,,4804 6804,,,SCALABRINI ORTIZ RAUL,3195,,"SCALABRINI ORTIZ, RAUL 3195",Palermo,14,1425,C1425DBM
"-583,885,374","-345,951,936",1679,CAFE MARTINIQUE,CAFE,,,4815 6565,,,PARANA,1156,,PARANA 1156,Recoleta,2,1018,C1018ADD
"-583,888,599","-345,892,956",1680,CAFE MONET,CAFE,MINUTAS,CLASICO PORTEÑO,4812 6983,,lunes a domingo de 7 a 00,QUINTANA MANUEL PRES.,400,,"QUINTANA, MANUEL, PRES. 400",Recoleta,2,1014,C1014ACQ
"-583,858,937","-346,147,657",1359,CAFE MONSERRAT,CAFE,SANDWICHERIA,MODERNO,4381 2588,,,SAN JOSE,524,,SAN JOSE 524,Monserrat,1,1076,C1076AAL
,,,CAFÉ NOSTALGIA BAR,Bar Notable,,,4963-0903,cafenostalgiabuenosaires@gmail.com,,,,,SOLER 3599,PALERMO,14,,
"-583,739,917","-345,985,235",1964,CAFE ORLEANS,CAFE,MINUTAS,CLASICO PORTEÑO,4311 5194,,,CORDOBA,499,,CORDOBA AV. 499,Retiro,1,1054,C1054AAD
"-584,647,388","-346,034,265",2733,CAFE PARAISO,CAFE,SANDWICHERIA,CLASICO PORTEÑO,,,,ALVAREZ DONATO Tte. Gral.,2080,,"ALVAREZ, DONATO, Tte. Gral. AV. 2080",Villa Gral. Mitre,11,1416,C1416BTW
"-583,811,694","-345,995,204",2166,CAFE PELLEGRINI,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4322 1555,,lunes a sábado de 8 a 1,PELLEGRINI CARLOS,761,,"PELLEGRINI, CARLOS 761",San Nicolas,1,1009,C1009ABO
"-583,812,257","-345,952,577",1965,CAFE PLAZA,RESTAURANTE,TRADICIONAL,CLASICO PORTEÑO,4393 4833,,lunes a domingo de 12 a 3,SANTA FE,999,,SANTA FE AV. 999,Retiro,1,1059,C1059ABD
"-583,911,097","-345,880,738",1682,CAFE QUINTANA,RESTAURANTE,MINUTAS,ANTIGUO,4804 0016,,,ORTIZ ROBERTO M. Pres.,1865,,"ORTIZ, ROBERTO M., Pres. 1865",Recoleta,2,1113,C1113ABA
"-583,895,152","-345,887,609",1681,CAFE QUINTANA,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4805 1328,,,QUINTANA MANUEL PRES.,460,,"QUINTANA, MANUEL, PRES. AV. 460",Recoleta,2,1129,C1129ABN
"-583,587,533","-346,362,469",1229,CAFE ROMA,CAFE,SANDWICHERIA,ANTIGUO,4302 1354,,lunes a domingo de 7 a 20,OLAVARRIA,409,,OLAVARRIA 409,Boca,4,1162,C1162ABI
"-583,721,321","-346,219,501",2556,CAFE SAN JUAN,RESTAURANTE,INTERNACIONAL,FRANCES,4300 1112,,martes a domingo de 10 a 00,SAN JUAN,450,,SAN JUAN AV. 450,San Telmo,1,1147,C1147AAP
"-583,871,195","-345,967,536",1966,CAFE SMPSON,RESTAURANTE,SANDWICHERIA,ANTIGUO,4813 4910,,,URUGUAY,1026,,URUGUAY 1026,Recoleta,2,1016,C1016ACB
"-583,705,774","-346,107,636",1360,CAFE STATUS,CAFE,MINUTAS,MODERNO,,,,BALCARCE,254,,BALCARCE 254,Monserrat,1,1064,C1064AAF
"-583,725,465","-34,604,399",2168,CAFE STERLING,RESTAURANTE,MINUTAS,MODERNO,4394 8761,,lunes a viernes de 7 a 20,SARMIENTO,402,,SARMIENTO 402,San Nicolas,1,1041,C1041AAJ
"-584,678,331","-346,114,055",2734,CAFE TIEMPO,CAFE,PIZZERIA,CLASICO PORTEÑO,,,,BOYACA,1600,,BOYACA 1600,Villa Gral. Mitre,11,1416,C1416AAJ
"-583,781,221","-346,088,256",1362,CAFE TORTONI,RESTAURANTE,PARRILLA,ANTIGUO,4342 4328,,lunes a sábado de 8 a 3.30 - domingo de 8 a 1,DE MAYO,825,,DE MAYO AV. 825,Monserrat,1,1084,C1084AAD
,,,CAFÉ VICTORIA,Bar Notable,,,4372-2754,cafevictoriacongreso@gmail.com,,,,,AV. ENTRE RÍOS 114,MONSERRAT,1,,
"-583,791,182","-34,605,966",2169,CAFE VIENES,BAR,FAST FOOD,MODERNO,4327 0407,,lunes a domingo de 7 a 1,PERON JUAN DOMINGO TTE.,893,,"PERON, JUAN DOMINGO, TTE. GENERAL 893",San Nicolas,1,1038,C1038AAQ
"-583,814,227","-345,950,874",1967,CAFE VINCENT,CAFE,MINUTAS,CLASICO PORTEÑO,4394 0933,,lunes a sábado de 9 a 22,PELLEGRINI CARLOS,1123,,"PELLEGRINI, CARLOS 1123",Retiro,1,1009,C1009ABW
"-58,391,551","-346,000,167",2171,CAFE Y BAR ENCUENTRO,BAR,MINUTAS,,4813 0915,,,RODRIGUEZ PEÑA,780,,RODRIGUEZ PEÑA 780,San Nicolas,1,,
"-583,776,915","-346,070,715",2170,CAFECITO,CAFE,MINUTAS,MODERNO,4343 5222,,lunes a domingo de 8 a 1,MITRE BARTOLOME,790,,"MITRE, BARTOLOME 790",San Nicolas,1,1036,C1036AAN
"-583,861,175","-346,112,506",1361,CAFETERIA 2003,RESTAURANTE,MINUTAS,MODERNO,4381 4773,,,SAN JOSE,220,,SAN JOSE 220,Monserrat,1,1076,C1076AAF
"-583,885,508","-346,341,576",898,CAFETERIA F.A.S,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,,,,PERDRIEL,25,,PERDRIEL 25,Barracas,4,1280,C1280AEA
"-583,895,173","-346,011,896",2172,CAFETERIA MONTEVIDEO,CAFE,MINUTAS,,4373 5840,,lunes a viernes de 8 a 19.30,MONTEVIDEO,667,,MONTEVIDEO 667,San Nicolas,1,1019,C1019ABM
"-583,963,667","-346,090,422",720,CAFETIN,CAFE,,,4952 7282,,,JUNIN,16,,JUNIN 16,Balvanera,3,1026,C1026ABB
"-584,481,994","-345,681,654",80,CAFFE CITY,CAFE,,,,,,CABILDO,1209,,CABILDO AV. 1209,Palermo,14,1426,C1426AAM
"-584,044,689","-345,809,044",78,CAFFE TABAC,BAR,MINUTAS,CLASICO PORTEÑO,4802 1191,,,DEL LIBERTADOR,2300,,DEL LIBERTADOR AV. 2300,Palermo,14,1425,C1425AAV
"-58,377,948","-346,094,461",1363,CAFIOLO,RESTAURANTE,MINUTAS,,4331 3448,,lunes a viernes de 7 a 20,YRIGOYEN HIPOLITO,802,,"YRIGOYEN, HIPOLITO 802",Monserrat,1,1086,C1086AAN
"-583,776,535","-346,033,851",2173,CAIMUN,RESTAURANTE,INTERNACIONAL,,4394 6742,,,CORRIENTES,777,,CORRIENTES AV. 777,San Nicolas,1,1043,C1043AAH
"-584,459,466","-346,223,455",976,CALCIO,RESTAURANTE,INTERNACIONAL,FUTBOL,4988 9289,,,RIVADAVIA,5701,,RIVADAVIA AV. 5701,Caballito,6,1406,C1406GLA
"-58,427,096","-345,906,771",81,CALDEN DEL SOHO,BAR,TRADICIONAL,CLASICO PORTEÑO,4833 2211,,,HONDURAS,4701,,HONDURAS 4701,Palermo,14,1414,C1414BMK
"-584,313,699","-345,950,318",2659,CALE,RESTAURANTE,MINUTAS,MODERNO,4771 1926,,,SCALABRINI ORTIZ RAUL,1000,,"SCALABRINI ORTIZ, RAUL AV. 1000",Villa Crespo,15,1414,C1414DNW
"-584,378,468","-345,855,675",82,CALLE ROY,RESTAURANTE,MEDITERRANEA,MODERNO,4772 8281,www.calleroy.com.ar,martes a sábado de 21 al cierre,FITZ ROY,1519,,FITZ ROY 1519,Palermo,14,1414,C1414CHU
"-584,594,902","-345,621,278",495,CAMBALACHE,RESTAURANTE,PIZZERIA,MODERNO,4788 6043,,,AMENABAR,2204,,AMENABAR 2204,Belgrano,13,1428,C1428CQJ
"-583,731,539","-346,147,199",1365,CAMBALACHE,RESTAURANTE,INTERNACIONAL,TANGO,4342 4244,,,BOLIVAR,592,,BOLIVAR 592,Monserrat,1,1066,C1066AAL
"-584,528,071","-345,473,586",496,CAMERUN,RESTAURANTE,MINUTAS,ANTIGUO,4782 1403,,,UDAONDO GUILLERMO,1308,,"UDAONDO, GUILLERMO AV. 1308",Belgrano,13,1428,C1428BJR
"-583,624,005","-34,638,306",1230,CAMINITO TANGO SHOW,CAFE,INTERNACIONAL,TANGO,4301 1520,,,VALLE IBERLUCEA del Dr.,1158,,"VALLE IBERLUCEA del, Dr. 1158",Boca,4,1160,C1160ABL
"-583,982,445","-345,893,753",1683,CAMPECHANO,RESTAURANTE,PARRILLA,MODERNO,4806 6015,campechano@argentina.com,,LARREA,1541,,LARREA 1541,Recoleta,2,1117,C1117ABO
"-584,310,531","-345,721,703",84,CAMPO BRAVO,RESTAURANTE,PARRILLA,CLASICO PORTEÑO,4514 5820,,,BAEZ,292,,BAEZ 292,Palermo,14,1426,C1426BRF
"-584,374,299","-34,601,568",85,CAMPO DEI FIORI,RESTAURANTE,ITALIANA,CLASICO PORTEÑO,4856 7868,www.grupoplaza.com.ar,,ALVAREZ JULIAN,299,,"ALVAREZ, JULIAN 299",Villa Crespo,15,1414,C1414DRE
"-583,861,005","-346,145,308",1364,CAMPO DEI FIORI,RESTAURANTE,ITALIANA,ESPAÑOL,4381 1800,www.grupoplazamayor.com,,VENEZUELA,1401,,REPUBLICA BOLIVARIANA DE VENEZUELA 1401,Monserrat,1,1095,C1095ABC
"-584,305,107","-345,710,801",83,CAMPO DEI FIORI,RESTAURANTE,ITALIANA,CLASICO PORTEÑO,4778 0550,,,ARCE,305,,ARCE 305,Palermo,14,1426,C1426BSC
,,,CAMPOBRAVO,Restaurante,,,4514-5820,campobravo@campobravo.com.ar,,,,,BAEZ 292,PALERMO,14,,
,,,CAMPOBRAVO HONDURAS,Restaurante,,,4576-5460,campobravo@campobravo.com.ar,,,,,HONDURAS 5600,PALERMO,14,,
"-584,017,026","-345,932,491",1684,CAMPOS DEL PILAR,RESTAURANTE,TRADICIONAL,,4807 5488,,lunes a lunes de 12 a 15 y de 20 a 00,PUEYRREDON AV,1501,,PUEYRREDON AV. 1501,Recoleta,2,1118,C1118AAF
"-58,408,604","-3,458,052",86,CANAL,RESTAURANTE,PARRILLA,,4802 6461,,,SALGUERO JERONIMO,2692,,"SALGUERO, JERONIMO 2692",Palermo,14,1425,C1425DEX
"-584,907,709","-346,328,161",2632,CANDIDO,RESTAURANTE,ESPAÃ‘OLA,ESPAÑOL,4671 9500,,,CARRASCO,394,,CARRASCO AV. 394,Velez Sarsfield,10,1407,C1407AVF
"-583,832,169","-345,990,395",1968,CANDILEJAS,CAFE,,,,,,CORDOBA,1147,,CORDOBA AV. 1147,Retiro,1,1055,C1055AAB
"-583,976,124","-345,928,708",1685,CANELA,RESTAURANTE,DE AUTOR,CLASICO PORTEÑO,4825 8330,,,JUNCAL,2124,,JUNCAL 2124,Recoleta,2,1125,C1125ABB
"-584,247,893","-345,773,581",89,CANGAS DE NARCEA,RESTAURANTE,ESPAÃ‘OLA,CLASICO PORTEÑO,4773 3351,,,BERUTI,4643,,BERUTI 4643,Palermo,14,1425,C1425BDE
"-58,382,973","-346,085,665",1366,CANTARES,RESTAURANTE,TAPAS,,4381 6965,info@cantarestablao.com.ar,,RIVADAVIA AV,1180,,RIVADAVIA AV. 1180,Monserrat,1,1033,C1033AAO
"-584,334,084","-346,017,607",2662,CANTEGRILL,RESTAURANTE,PARRILLA,MODERNO,4857 6002,,,CORRIENTES,4800,,CORRIENTES AV. 4800,Villa Crespo,15,1414,C1414AJN
"-584,686,433","-346,305,657",1135,CANTEGRILL,RESTAURANTE,,,,,,RIVADAVIA,7326,,RIVADAVIA AV. 7326,Flores,7,1406,C1406GMQ
"-584,671,756","-345,786,412",2837,Cantina Don Chicho,RESTAURANTE,TRADICIONAL,CLASICO PORTEÑO,011 4556-1463,,lunes a lunes de 20 a 15 y de 20 al cierre,ZÃƒÂ¡rraga,3991,,ZARRAGA 3991,Villa Ortuzar,15,,
"-584,030,404","-34,597,641",87,CANTON,RESTAURANTE,INTERNACIONAL,CLASICO PORTEÑO,4778 3896,,,PARAGUAY,2476,,PARAGUAY 2476,Recoleta,2,1121,C1121ABN
"-584,248,527","-345,797,326",90,CANTONES,RESTAURANTE,INTERNACIONAL,,,,,FRAY JUSTO SANTAMARIA DE ORO,2466,,FRAY JUSTO SANTAMARIA DE ORO 2466,Palermo,14,1425,C1425FOJ
"-583,766,835","-346,019,178",2175,CAPATAZ,RESTAURANTE,,,,,,MAIPU,529,,MAIPU 529,San Nicolas,1,1006,C1006ACE
"-584,559,398","-345,620,195",497,CAPISCI,RESTAURANTE,PORTEÃ‘A,ANTIGUO,4788 4400,,,SAGASTA ISLA JOSE MARIA,2072,,"SAGASTA ISLA, JOSE MARIA 2072",Belgrano,13,1428,C1428ABB
"-583,938,352","-346,050,086",721,CAPITAN COCO,CAFE,MINUTAS,CLASICO PORTEÑO,1556969212,,,RIOBAMBA,360,,RIOBAMBA 360,Balvanera,3,1025,C1025ABH
"-583,793,265","-346,067,821",2174,CAPITELES,RESTAURANTE,TRADICIONAL,MODERNO,4325 0889,,lunes a viernes de 8 a 18,SUIPACHA,130,,SUIPACHA 130,San Nicolas,1,1008,C1008AAD
"-584,709,219","-346,248,488",1136,CAPITULO V,RESTAURANTE,PORTEÃ‘A,MODERNO,4637 2555,,,ARANGUREN JUAN F. Dr.,2802,,"ARANGUREN, JUAN F., Dr. 2802",Flores,7,1406,C1406FXB
"-583,745,321","-34,615,092",1367,CAPRI,RESTAURANTE,INTERNACIONAL,COLONIAL,4361 9600,,lunes a sábado de 8 a 20,PERU,602,,PERU 602,Monserrat,1,1068,C1068AAD
"-583,852,351","-346,039,994",2176,CAPRIATTI,RESTAURANTE,ITALIANA,MODERNO,,,lunes a domingo de 7 a 00,CORRIENTES,1302,,CORRIENTES AV. 1302,San Nicolas,1,1043,C1043ABN
